Brand Name;Parent Company;If Parent Company does not appear automatically or needs correction, please add here.;Item Description;Type of Product;Type of Material;Layers;Total Count;City;Provinces;Time of Audit;Type of Audit;Specifics of Audit
PUTRI PANDA;Putri Panda;;FOOD;FP;PET;SL;6;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ABC;Santos Jaya Abadi;;COFFE;FP;PET;SL;12;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KAPAL API;Santos Jaya Abadi;;COFFE;FP;PET;SL;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KOPI GOOD DAY;;Santos Jaya Abadi;COFFE;FP;PET;SL;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
POP MIE;Indofood;;NOODLES;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SEDAAP;Wings;;NOODLES;FP;PS;SL;4;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
PIKOPI;;Santos Jaya Abadi;COFFE;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ROKOK AROMA;;Niaga Nusa Abadi;CIGARETTE;SM;O;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MARCOPOLO;;Sumatra Tobacco Trading Company;CIGARETTE;SM;O;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GUDANG GARAM;Gudang Garam Tbk.;;CIGARETTE;SM;O;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
DJARUM SUPER;Djarum;;CIGARETTE;SM;O;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
TOP COFFEE;Harum;;COFFE;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
TAPAL KOEDA;;Tapal Kuda Kencana;CIGARETTE;SM;O;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MISTER;;Siantar Top;FRENCH FRIES;FP;PET;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
PADIMAS;Stanly Trijaya Mandiri;;BREAD;FP;PET;SL;4;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
AOKA;Indonesia Bakery Family;;BREAD;FP;PET;SL;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SARI ROTI;Nippon Indosari Corpindo;;BREAD;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
BALIMAS;;Unknown;BREAD;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SARI WANGI;Angri Wangi Indonesia;;BREAD;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MANIZ;;Unknown;BREAD;FP;PET;SL;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SEDAAP;Wings;;NOODLES;FP;PET;SL;6;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
INDOMIE;Indofood;;NOODLES;FP;PET;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MINYAKITA;;Apical Group;COOKING OIL;FP;PET;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
PANTENE;Colgate-Palmolive;;SHAMPOO;PC;PET;SL;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
HEAD & SHOULDERS;Head & Shoulder;;SHAMPOO;PC;PET;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
REJOICE;phrong intertrade co ltd;;SHAMPOO;PC;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
AQUA;Danone;;BOTTLE;FP;HDPE;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MINYAK GORENG SMART;;Unknown;COOKING OIL;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
FRAISWELL;Bina Karya Prima;;COOKING OIL;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
TICTIC;Siantar Top;;SNACK;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
PEMBALUT CHARM;;Uni-Charm Indonesia;BANDAGE;PC;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
BABY HAPPY;PROTEX;;PAMPERS;PC;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
EKOMIE;Wings;;NOODLES;FP;O;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
NEXTAR;Nabati;;SNACK;FP;PET;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GARUDA;Tudung Group;;SNACK;FP;PET;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
VIT;Tirta Investama;;DRINK;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ROMA SARI GANDUM;Mayora Indah;;BREAD;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ZINC;PT Lion Wings;;SHAMPOO;PC;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GOLIA;Perfetti van Melle;;CANDY;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KISS;Mayora Indah;;CANDY;FP;PET;ML;5;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
COFFEE CANDY;;Santos Jaya Abadi;CANDY;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
RELAXA;Agel Langgeng;;CANDY;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MINTZ;Orang Tua;;CANDY;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SASA;Sasa Inti;;FLAVORING;FP;PET;ML;4;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MASAKO;Ajinomoto;;FLAVORING;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
YOUKA;;Unknown;CANDY;FP;PET;ML;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KLIK;Indofood;;BREAD;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SUPER;Gandhi Spices Pvt. Ltd.;;TISSUE;HP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ATTACK;Kao Corporation Chemicals company;;DETERGEN;HP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
TRESEMME;Godefroy;;SHAMPOO;PC;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SABDO PALON;;Unknown;JAMU;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KANZLER;;PT Macroprima Panganutama;SAUSAGE;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GERY SALUT;Garuda Food;;BREAD;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
CUP;Unbranded;;CUP   ;FP;PS;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
DAIA;Wings;;DETERGEN;HP;PET;ML;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
EKONOMI;Wings;;DETERGEN;HP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SO KLIN;Wings;;DETERGEN;HP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MAMY POKO;Unicharm;;PAMPERS;HP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KOPIKO;Mayora Indah;;CANDY;FP;PET;ML;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
CLEO;Tanobel Food;;DRINK;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SO NICE;So Good;;SAUSAGE;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KOMIX;Bintang Toedjoe;;JAMU;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
TOLAK ANGIN;Sidomuncul;;JAMU;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
FRISIAN FLAG;FrieslandCampina;;MILK;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MIRANDA;Unbranded;;HAIR DYES;PC;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ANTANGIN;Deltomed Laboratories;;JAMU;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
TEH GELAS;Orang Tua;;DRINK;FP;PET;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
LIFEBUOY;Unilever;;SHAMPOO;PC;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ULTRA MILK;Ultrajaya;;MILK;FP;O;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
DUA PUTRA;;Unknown;BREAD;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
NABATI;Nabati Group.;;WAFER;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ROMA;Mayora Indah;;BREAD;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
AOKA;Indonesia Bakery Family;;BREAD;FP;PET;ML;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
YAKULT;Yakult;;DRINK;FP;HDPE;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SIMBA;Simba Indosnack Makmur;;CEREAL;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ROLIS;;Unknown;BREAD;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
INDOFOOD;Indofood;;SAUS;FP;PET;ML;4;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
NUVO;Wings;;SABUN;HP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ROCKET CHICKEN;;Unknown;SAUS;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KACANG CIKUR POGO;;Unknown;SNACK;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GERY;Garuda Food;;MEISES;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
WALLS;Unilever;;ICE CREAM;FP;PET;ML;5;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MENTOS;Perfetti van Melle;;PERMEN;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
BLASTER;Ultra Prima Abadi;;PERMEN;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
CUCU;;Internusa Food;COKLAT;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ZINC;PT Lion Wings;;SHAMPOO;PC;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
POLYGON;;Unknown;-;O;O;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MISTER POTATO;;Pacific Food Indonesia;KERIPIK;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
CHOCOLATOS;Garuda Food;;COKLAT;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MIE KREMEZZ;Tiga Pilar Sejahtera;;MIE;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GORIORIO;Siantar Top;;BREAD;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
YUPI;Yupindo;;PERMEN;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SPRITE;The Coca-Cola Company;;DRINK;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
XIANG XIANG;;Unknown;-;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
BLUE BAND;unilever;;MARGARIN;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KAIPA;;Unknown;BREAD;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
PILUS CAP BAWANG TUNGGAL;;Unknown;SNACK;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
CHOKI CHOKI;Mayora Indah;;COKLAT;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
VITAMIN C;;Unknown;VITAMIN;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MADURASA;Madurasa Unggulan Nusantara;;HONEY;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
LE MINERALE;Mayora Indah;;TISU;HP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GUDANG GARAM;Gudang Garam Tbk.;;CIGARETTE;SM;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
DEKA;;Unknown;BREAD;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
TINGTING;;Garuda Food;PERMEN;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
TERASI UDANG;;Unknown;TERASI;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
TESSA;;PT Graha Kerindo Utama;TISU;PC;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KABITA;;Unknown;KERUPUK;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SOFFELL;;Enesis Group;OBAT NYAMUK;PC;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
FINTO;Forisa Nusa Persada;;DRINK;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SUKIYAKI;;Unknown;SNACK;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
JAGO BAWANG;;Unknown;KACANG ATOM;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KONIDIN;;PT Konimex;MEDICINE;PC;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MODI;;Ranjani Jaya Lestari;PERMEN;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GURIMI;;PT ABC President Indonesia;MIE;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
UNKNOWN;Unbranded;;LAINNYA;O;O;Unsure;420;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
AOKA;Indonesia Bakery Family;;FOOD PACKAGING;FP;PS;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GERY;Garuda Food;;FOOD PACKAGING;FP;PS;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
DJARUM COKLAT;Djarum;;CIGARETTE;SM;O;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SEDAAP;Wings;;FOOD PACKAGING;FP;PS;SL;6;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KISS;Mayora Indah;;FOOD PACKAGING;FP;PS;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MILD;;HM Sampoerna, Tbk;CIGARETTE;SM;O;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
TOP;Delfi limited;;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
DJARUM SUPER;Djarum;;CIGARETTE;SM;O;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MENTOS;Perfetti van Melle;;FOOD PACKAGING;FP;PS;SL;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GORIORIO;Siantar Top;;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KOPIKO;Mayora Indah;;FOOD PACKAGING;FP;PS;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
INAKO JELLY;;PT Niramas Utama;FOOD PACKAGING;FP;PS;SL;10;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KALPA;Mayora Indah;;FOOD PACKAGING;FP;PS;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
PIATTOS;Universal Robina Corporation;;FOOD PACKAGING;FP;PS;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
CHOCO PIE;Lotte Confectionary Co;;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KUACI REBO;Gumindo;;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SUPER STAR;Mayora Indah;;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
PADDLE POP;Unilever;;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
COCA COLA;The Coca-Cola Company;;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
FRISIAN FLAG;FrieslandCampina;;FOOD PACKAGING;FP;PS;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SUPERMI;Indofood;;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
DELFI CHOCO BALL;;Delfi Ltd.;FOOD PACKAGING;FP;PS;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
DJARUM 76;;Djarum;CIGARETTE;SM;O;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SUNLIGHT;Unilever;;SABUN;HP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
COFFE CUP;;Unknown;FOOD PACKAGING;FP;PS;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
VIT;Tirta Investama;;FOOD PACKAGING;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KOPI GOOD DAY;;Santos Jaya Abadi;FOOD PACKAGING;FP;PS;SL;4;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
POL-T;;Unknown;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MARSHMALLOW;Unbranded;;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
HOT HOT POP;Bronson;;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
EKONOMI;Wings;;SABUN;HP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
PAKU;;Unknown;LOGAM / BESI;FG;PVC;Unsure;5;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
NEXTAR;Nabati;;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
CHOCO CHIPS;Simba;;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GROW;;PT Gudang Baru Berkah;CIGARETTE;SM;O;ML;4;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SAMPOERNA;Philip Morris International;;CIGARETTE;SM;O;ML;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GICO;;Perusahaan Rokok Bahagia;CIGARETTE;SM;O;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
DILAN;;Garuda Food;FOOD PACKAGING;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MALKIST;PT Mayora Indah Tbk;;BREAD;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KAPAL API;Santos Jaya Abadi;;COFFEE;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ROCKET CHICKEN;;Unknown;SAOS;FP;PET;ML;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GARAM DAUN;;Unknown;GARAM;FP;PET;SL;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MIE KREMEZZ;Tiga Pilar Sejahtera;;SNACK;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
WALLS;Unilever;;ES;FP;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KOPI ABC;Santos Jaya Abadi;;COFFEE;FP;PET;ML;7;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
LA;British American Tobacco;;CIGARETTE;SM;O;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SO NICE;So Good;;FOOD PACKAGING;PC;PET;ML;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
CHOCOLATOS;Garuda Food;;FOOD PACKAGING;PC;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GUDANG GARAM;Gudang Garam Tbk.;;CIGARETTE;SM;O;ML;4;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
DJI SAM SOE;HM Sampoerna, Tbk;;CIGARETTE;SM;O;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KIKO;Pandaria Makmur (Kiko Fact);;FOOD PACKAGING;PC;PET;SL;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
RELAXA;Agel Langgeng;;PERMEN;PC;PET;ML;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
INDOFOOD;Indofood;;FOOD PACKAGING;PC;PET;SL;6;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ICE CREAM;;Unknown;ES;PC;PET;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GO POTATO;Siantar Top;;FOOD PACKAGING;PC;PET;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ROKOK KRETEK;;Unknown;CIGARETTE;O;O;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MENTOS;Perfetti van Melle;;PERMEN;PC;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
YUPI;Yupindo;;PERMEN;PC;PET;SL;4;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MY JELLY;Wong Coco;;JELI;PC;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GERY SALUT;Garuda Food;;FOOD PACKAGING;PC;PET;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MASAKO;Ajinomoto;;PENYEDAP RASA;PC;PET;SL;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GO MALKIST;;PT Mayora Indah Tbk;FOOD PACKAGING;PC;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
AQUA;Danone;;DRINK;PC;PET;SL;12;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ASTOR;Mayora Indah;;FOOD PACKAGING;PC;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
POP MIE;Indofood;;FOOD PACKAGING;PC;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
YAKULT;Yakult;;DRINK;PC;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
UC 1000;Djojonegoro;;DRINK;O;O;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
INDOMILK;Indofood;;DRINK;PC;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ZINC;PT Lion Wings;;SHAMPOO;PC;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
BIG BABOL;Perfetti van Melle;;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
HOTIN CREAM;;PT Ultra Sakti;MEDICINE;PC;PET;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
TIM TAM;Arnott's;;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GACOAN;;PT Pesta Pora Abadi;FOOD PACKAGING;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
TEH RIO;Wings;;PERMEN;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ORANGE;;Unknown;PERMEN;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
PEPSODENT;Unilever;;PASTA GIGI;PC;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
WALENS;;PT Nissin Biscuit Indonesia;BREAD;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
PAPER CUP;Unbranded;;CUP KERTAS;O;PS;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
UNKNOWN;Unbranded;;PLASTIC BAGS;O;LDPE;SL;9;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KACANG CIKUR POGO;;Unknown;PEANUT;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GROW;;PT Gudang Baru Berkah;CIGARETTE;SM;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
CAMILAN ISTIMEWA;;Unknown;BREAD;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SAMBAL COLEK;;Unknown;SAOS;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SUPERSTAR;Mayora Indah;;WAFER;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KOMIX;Bintang Toedjoe;;MEDICINE;PC;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ABC SAOS TOMAT;;Heinz;SAOS;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
NEXTAR;Nabati;;BREAD;FP;PET;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
